time,cam_x,cam_y,cam_z,obj_x,obj_y,obj_z,cam_i,cam_j,cam_k,cam_w,obj_i,obj_j,obj_k,obj_w
0.05,61.44474571413901,25.48625320089948,134.3374472064779,-172.19620873778902,855.2675730140264,139.57371947258585,0.00856865155046208,-0.022359232195465064,0.6851200329360837,0.7280365261550383,-0.014225228465214481,0.002412443985731165,-0.7950173435014943,0.6064150777486946
0.05,61.459414516084934,25.47787148219549,134.33006906086973,-172.1546309786928,855.2794166943941,139.5699353350211,0.008500566820872918,-0.02230505887523602,0.6850146679341513,0.7281381252395458,-0.014167383030408112,0.0021648066200888804,-0.7959619807601912,0.605176936155601
0.05,61.461941989724664,25.4789633320906,134.3431962081062,-172.1419281654444,855.2716266540282,139.56133434379564,0.008738048825195731,-0.02245826250229691,0.6852197194432141,0.7279376408967113,-0.013640646497129868,0.0018992701390101415,-0.7963868306565515,0.6046307480544573
0.05,61.45011572359707,25.476252243565412,134.34739361257897,-172.23318823225972,855.184814434208,139.61698762861556,0.008778993248933118,-0.022451629887261668,0.68516811897392,0.7279859217970364,-0.01203664997962873,0.0015178796531380412,-0.7929647767674561,0.6091466801229118
0.05,61.450915584012506,25.467828714664826,134.35135193283787,-172.24473884453832,855.1985213795879,139.60428153928862,0.008974961965179188,-0.022718967256337135,0.685166031973975,0.727977202399613,-0.012304154557166035,0.0014272226450538366,-0.7930971257308799,0.60896922744386
0.05,61.4346508587912,25.465805683472237,134.3529563806668,-172.17433784110514,855.2582540333965,139.5857199080844,0.008801594661286384,-0.022551672567322798,0.685187088677843,0.727964702101013,-0.01386759789284495,0.0019246742335492129,-0.795991498080682,0.6051458669949327
0.05,61.44512989712371,25.469514298873644,134.35312402259987,-172.1784970112897,855.2400531057044,139.57007184269605,0.008937689007828691,-0.02316716106536555,0.685291605181296,0.7278453243865852,-0.013711533284314497,0.0021157853323705276,-0.7958762073475375,0.6053004046632714
0.05,61.45356849999237,25.472299428738996,134.37751518657922,-172.36824121175846,855.2500249363541,139.46588195675892,0.008909728408910297,-0.022962792264470136,0.685266887854879,0.7278754146973141,-0.012432081056000785,0.0012547497652036816,-0.7960915732480339,0.6050471683820312
0.05,61.45968191723296,25.46009357481226,134.3627994539753,-172.18088708555058,855.2477211720295,139.57940171830452,0.008861876908521988,-0.02272307480193304,0.6852303134793892,0.7279179531363009,-0.014023838916543218,0.002076972561563607,-0.7957501666285535,0.6054590741228104
0.05,61.478791880217514,25.46209551490163,134.34464083335266,-172.1660362612083,855.2597762782202,139.565362894352,0.008627799492789575,-0.022645748096212046,0.6850968961756284,0.7280487442607092,-0.01376413553847654,0.0020782303930139733,-0.796324077256273,0.6047100077832825
0.05,61.45684213100875,25.45627107647573,134.34321098134535,-172.19199377246687,855.2615018923356,139.5556741153528,0.00868339721516195,-0.022829660673206607,0.6853609414281735,0.7277937792884999,-0.014014775637488522,0.0019606701266295834,-0.795731554333261,0.605484132967048
0.05,61.47754924757076,25.466581585469847,134.33975337663514,-172.16505530280406,855.2782738368594,139.56356997952489,0.00857719756625412,-0.02255654314481802,0.6851350331514062,0.7280162226158747,-0.014023251427790364,0.0024766355885620637,-0.7961491664156305,0.6049328223127352
0.05,61.4995954754688,25.475371652726515,134.3394998768436,-172.16945695466467,855.2785472516989,139.5605819825919,0.008586032583403111,-0.02249333443485278,0.6851618942637306,0.7279927943320698,-0.013574975536886268,0.0022023735371108724,-0.7956480040441666,0.6056031070350532
0.05,61.46343652851624,25.47135784742964,134.36646194991334,-172.3795904615183,855.1119141068783,139.62930682205618,0.009188899156674419,-0.02338446533671596,0.6852846932757387,0.7278417548308019,-0.013911042723150855,0.0027419613412723643,-0.7849871450304614,0.6193497773272248
